"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","UNEMPEDU","TRY","PC_25_64","A","2002",4.496244,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2003",5.1918244,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2004",5.5496602,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2005",5.5658817,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2006",4.8133388,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2007",3.8356545,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2008",3.3106675,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2009",3.4052653,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2010",3.0885527,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2011",2.4441407,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2012",2.3532271,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2013",2.4270005,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2014",2.4800949,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2015",2.3265731,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2016",2.2083173,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2017",1.9815251,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2018",1.8697213,
"USA","UNEMPEDU","TRY","PC_25_64","A","2002",3.0199473,
"USA","UNEMPEDU","TRY","PC_25_64","A","2003",3.3698711,
"USA","UNEMPEDU","TRY","PC_25_64","A","2004",3.259702,
"USA","UNEMPEDU","TRY","PC_25_64","A","2005",2.6344383,
"USA","UNEMPEDU","TRY","PC_25_64","A","2006",2.5434146,
"USA","UNEMPEDU","TRY","PC_25_64","A","2007",2.1145589,
"USA","UNEMPEDU","TRY","PC_25_64","A","2008",2.419764,
"USA","UNEMPEDU","TRY","PC_25_64","A","2009",4.8845387,
"USA","UNEMPEDU","TRY","PC_25_64","A","2010",5.3341351,
"USA","UNEMPEDU","TRY","PC_25_64","A","2011",4.9047508,
"USA","UNEMPEDU","TRY","PC_25_64","A","2012",4.6178455,
"USA","UNEMPEDU","TRY","PC_25_64","A","2013",4.0719733,
"USA","UNEMPEDU","TRY","PC_25_64","A","2014",3.7418945,
"USA","UNEMPEDU","TRY","PC_25_64","A","2015",2.7198491,
"USA","UNEMPEDU","TRY","PC_25_64","A","2016",2.6832011,
"USA","UNEMPEDU","TRY","PC_25_64","A","2017",2.5370116,
"USA","UNEMPEDU","TRY","PC_25_64","A","2018",2.2782395,
"OAVG","UNEMPEDU","TRY","PC_25_64","A","2002",4.0102536,
"OAVG","UNEMPEDU","TRY","PC_25_64","A","2003",4.1247931,
"OAVG","UNEMPEDU","TRY","PC_25_64","A","2004",4.0533495,
"OAVG","UNEMPEDU","TRY","PC_25_64","A","2005",3.8056583,
"OAVG","UNEMPEDU","TRY","PC_25_64","A","2006",3.3855865,
"OAVG","UNEMPEDU","TRY","PC_25_64","A","2007",3.1703697,
"OAVG","UNEMPEDU","TRY","PC_25_64","A","2008",3.1615239,
"OAVG","UNEMPEDU","TRY","PC_25_64","A","2009",4.4193063,
"OAVG","UNEMPEDU","TRY","PC_25_64","A","2010",4.8546192,
"OAVG","UNEMPEDU","TRY","PC_25_64","A","2011",4.8465325,
"OAVG","UNEMPEDU","TRY","PC_25_64","A","2012",5.0820064,
"OAVG","UNEMPEDU","TRY","PC_25_64","A","2013",5.2410011,
"OAVG","UNEMPEDU","TRY","PC_25_64","A","2014",5.0950035,
"OAVG","UNEMPEDU","TRY","PC_25_64","A","2015",4.9263065,
"OAVG","UNEMPEDU","TRY","PC_25_64","A","2016",4.9671252,
"OAVG","UNEMPEDU","TRY","PC_25_64","A","2017",4.2604276,
"OAVG","UNEMPEDU","TRY","PC_25_64","A","2018",3.9509934,
